tweets,sentiment
Chinese citizens caught faking COVID-19 tests so they can leave Russia https://t.co/PWrAerO7Iz,neutral
"RT @RunesSmash: After Covid dies down, Can we please normalize wearing masks in the US when you are sick?? I'm tired of little jimmy sneezi…",negative
RT @Neurophysik: Many COVID-19 patients recover on their own. Quoting a journal that published a single case of COVID-19 recovery with Ayur…,positive
"MLBは7/23 or 7/24開幕みたいだが、果たして本当に開幕できるのか。国内の感染状況や回復者数の割合も芳しくなく、今から1か月後に事態が好転してるのか。

機構側と選手会側の対立が強調されて、両者が合意したとなりゃ前向きに… https://t.co/DmKpUgiLH1",neutral
"RT @NicholsUprising: A Virginia physician who said “My perspective on our current coronavirus pandemic comes from the frontlines, caring fo…",neutral
"https://t.co/u8i9ta8KJL

https://t.co/mMJdnv9ZAL

https://t.co/RcXXSumshf

https://t.co/SpAEoK3US7… https://t.co/ohRU4wIAmq",neutral
"RT @laradiodelsur: La mitad de las regiones de Estados Unidos experimentan rebrotes de la epidemia de COVID-19
https://t.co/V77DVf34rH http…",neutral
"“COVID is a scam”

Me: https://t.co/GFvelPuRRj",neutral
"RT @lacombeopressor: O Gov. João Doria e o prefeito Bruno Covas, vivem dizendo q seguem a ciência, mas que ciência é essa que, semanas atrá…",neutral
RT @AmoneyResists: My last customer today said he hates having to wear a mask  because of “Democrat socialism” &amp; he had just come back from…,neutral
"RT @AndrewYang: Trump calling COVID-19 the “Kung Flu” is stupid, racist and part of the reason he is losing this election in increasingly h…",negative
The COVID19 testing partnership between Meharry and local churches continues on Saturday June 27th at First Baptist… https://t.co/X6xXDA57yB,positive
"RT @ClaudiaLopez: El incremento de atracos en Bogotá es inaceptable!
Hoy 10% @PoliciaBogota está en vacaciones/licencias y 20% en cuarenten…",neutral
"RT @Bruce_Cares: If these aren’t properly cleaned you just worked out in a COVID Container. 

Namanasty.",neutral
"RT @O_C_62: No fr! My cousin and one of my tias said this helped them when they had it, make it into a tea and drink it as hot as you can t…",positive
RT @DariusJohnsonTV: FRIDAY: Help us Pack the Pantries again to fight hunger in central Indiana. You helped us raise mire than $200K in Apr…,neutral
"I sooo wish the following:
1) SSR didn’t do it.
2) If he did then wish there was no covid so movies would’ve releas… https://t.co/mzYqatozAL",neutral
"RT @RunesSmash: After Covid dies down, Can we please normalize wearing masks in the US when you are sick?? I'm tired of little jimmy sneezi…",negative
